#Index                     Name  Age   GPA         Career
   239            Lisa Thompson   24  3.84      Chemistry
   240             Robert Robie   20  1.87        Biology
   241             Angie Murphy   21  0.36      Chemistry
   242              Alice Davis   27  2.62      Chemistry
   243             Sandra Owens   25  3.91      Chemistry
   244              Beryl Perry   22  2.93      Chemistry
   245         Luis Quintanilla   26  1.78        Physics
   246               Paul Avila   23  2.56        Physics
   247                Jane Hood   20  2.99        Physics
   248               Penny Sims   24  1.50        Biology
   249           Maria Buchwald   27  1.78        Physics
   250          Lindsey Dykstra   21  1.12        Biology
   251             Howard Jones   25  0.19        Physics
   252            Lester Mynatt   25  1.58        Biology
   253             John Mendoza   22  1.41        Physics
   254          Robert Ringrose   25  0.96      Chemistry
   255            Norma Caswell   21  2.81        Biology
   256            Michael Haley   26  1.25        Biology
   257            Michelle West   23  3.87        Physics
   258           Jeremy Waverly   25  2.12      Chemistry
   259              James White   26  3.77      Chemistry
   260         Kenya Villagomez   24  2.79        Biology
   261                Amy Ferry   24  0.34      Chemistry
   262           Ernestine Kerr   21  3.19        Physics
   263              Maria Emery   23  3.84      Chemistry
   264             Mary Langham   26  0.34        Biology
   265             Richard Webb   22  0.06        Biology
   266              Alfred Hain   25  3.34      Chemistry
   267          Martin Townsend   25  0.75      Chemistry
   268              Ethel Goins   23  2.24      Chemistry
   269         Jeffrey Longwell   20  0.33        Physics
   270             Gwen Kitchen   23  1.60        Biology
   271              Mary Mendez   20  2.23        Biology
   272           Jeffrey Dillon   23  0.22      Chemistry
   273             Wilma Torres   27  2.93        Biology
   274          Peter Tucholski   25  2.04        Biology
   275               Mimi Smith   24  0.78        Biology
   276              David Dixon   23  0.52        Biology
   277           Harry Matthews   25  1.75        Biology
   278            Darryl Morgan   22  3.60        Physics
   279              Hazel Brown   22  3.39        Biology
   280               Beth Reese   24  2.37        Biology
   281               Lisa Perez   20  1.58        Biology
   282       Brian Breckenridge   20  1.42        Physics
   283        Paulette Phillips   23  3.76      Chemistry
   284             Willie Payne   26  2.74      Chemistry
   285            Aaron Lanford   24  3.37      Chemistry
   286           Allison Salley   21  3.64        Physics
   287                Kevin Cox   23  1.46        Biology
   288             Minnie Glass   25  2.44        Physics
   289            Tracy Medrano   23  3.28      Chemistry
   290             Elaine Hayes   20  1.51        Physics
   291         Sabrina Benthall   22  2.29      Chemistry
   292               Johnny Too   25  3.16        Biology
   293         Kenneth Anderson   20  0.70      Chemistry
   294          Christine Rolfe   22  2.59      Chemistry
   295           Kent Kavanaugh   22  0.35        Biology
   296               Cara Woods   20  1.92      Chemistry
   297             Wilma Barnes   21  3.13        Biology
   298          Patrick Goodman   25  3.51        Physics
   299           Nicole Chesley   22  3.94        Biology
   300            Robert Peters   21  1.38        Physics
   301            Saundra Hinde   21  0.54        Biology
   302           Ruth Rodriquez   27  2.61      Chemistry
   303           Kathern Dennis   20  3.47        Physics
   304            Mabel Hoffman   24  2.49      Chemistry
   305              Bryan Busch   27  1.74      Chemistry
   306           Christy Travis   25  2.66      Chemistry
   307            Robert Greene   21  0.38        Biology
   308           William Fanney   21  2.36        Physics
   309             Joseph Quinn   23  3.94      Chemistry
   310            Carlos Yeiser   23  3.13        Physics
   311            Marie Bowling   26  3.29      Chemistry
   312             Carl Wisener   24  3.13        Biology
   313            Sergio Obrien   25  3.25        Biology
   314              Ruby Salano   20  0.46        Biology
   315        Alberto Mcdonnell   27  0.52        Biology
   316            Minnie Danahy   21  3.22        Physics
   317            Jennifer Munn   25  1.65        Biology
   318             Barry Avilla   24  2.72        Biology
   319          Shelley Pascual   20  1.11        Physics
   320            Scott Doughty   27  2.47        Biology
   321               Chad Vella   25  1.95      Chemistry
   322              Greg Barron   27  2.49        Physics
   323         Jacqueline Jones   24  1.20      Chemistry
   324              Ralph Leake   21  0.42        Biology
   325              Robert Leon   20  0.03        Biology
   326             Mark Daniels   24  2.57        Biology
   327                Edna Merk   26  3.06        Physics
   328              Linda Kuker   27  2.26        Biology
   329           Virginia Brown   27  3.33        Physics
   330            Kelly Christy   27  1.53        Physics
   331           Brigida Dodson   22  0.33      Chemistry
   332        Kathryn Blackburn   21  0.42        Biology
   333              Darcy Clark   27  0.28      Chemistry
   334            Angela Weyers   25  0.27      Chemistry
   335            Cynthia Clark   20  3.45        Biology
   336              Nelson Lala   21  2.51        Physics
   337             Susan Dennis   21  0.86        Biology
   338             Kyle Mobilia   21  1.32        Physics
   339             Anna Simpson   21  1.22        Physics
   340               Ruthie Key   24  0.19        Biology
   341             Byron Cathey   25  1.47        Biology
   342              Terri Bauer   24  1.42        Physics
   343           Ernest Sanchez   27  0.49        Biology
   344          Martina Daniels   27  1.67      Chemistry
   345              Annie Wertz   22  3.27        Biology
   346                Carl Mace   27  1.97        Biology
   347           Clifford Banks   21  0.96      Chemistry
   348              Allen Jarvi   22  3.37        Physics
   349         Thomas Rodriguez   26  0.23        Physics
   350         Jackie Fairchild   26  2.38      Chemistry
   351           Justin Stewart   20  0.78      Chemistry
   352                 Yee Hall   27  0.52      Chemistry
   353            Willie Pineda   20  1.14        Biology
   354          Darlene Mchaney   21  3.23        Biology
   355              Peter Tripp   20  3.56        Biology
   356          William Rodgers   23  0.60        Physics
   357            Maria Apadoca   22  2.88        Physics
   358            Robert Nelson   25  1.10        Physics
   359           Jason Williams   23  1.91      Chemistry
   360             Karen Potter   27  3.98      Chemistry
   361            Sandra Torres   24  0.74        Physics
   362            Paul Stephens   24  1.59      Chemistry
   363           Jamie Anderson   21  1.60        Biology
   364             Mary Dillard   23  3.11      Chemistry
   365             Barbara Gary   23  1.67        Biology
   366           Ryan Primavera   20  1.36        Physics
   367           Michael Malone   23  1.77        Physics
   368             Helen Fisher   25  3.81        Physics
   369           Adriana Fraher   26  1.25        Biology
   370        Nicholas Unzicker   21  2.93        Biology
   371          Greg Shaffstall   27  3.52        Biology
   372         Donald Henderson   24  0.31        Biology
   373             Mark Elliott   27  2.91      Chemistry
   374            Laurence Lynn   27  1.03        Biology
   375          James Torgerson   26  0.88        Physics
   376          Charles Howland   26  3.51      Chemistry
   377            Joyce Leonard   24  2.81      Chemistry
   378           Antony Stevens   26  0.94        Physics
   379              Ruth Nelson   25  3.23      Chemistry
   380              Joan Larish   26  3.44        Physics
   381              Grace Smith   26  0.28      Chemistry
   382           Nannie Colbert   23  2.28        Biology
   383           Margaret Bryer   20  1.92      Chemistry
   384             Mary Bacurin   20  3.24        Physics
   385           William Masten   21  0.94        Physics
   386             George Watts   22  3.71        Biology
   387             James Taylor   24  2.08        Physics
   388          Margaret Tanner   21  1.50        Biology
   389            Laura Whipple   26  3.84      Chemistry
   390          Violeta Borrero   23  2.26      Chemistry
   391            Florene Birch   27  2.67        Biology
   392              Louis Mazur   26  1.11        Physics
   393             Ruby Roberts   27  1.92        Physics
   394          Michael Robeson   25  3.73        Biology
   395            Darlene Cohen   21  3.68        Biology
   396             Kyle Lavalle   24  2.16      Chemistry
   397         Margarita Flores   24  3.82        Physics
   398             Sandra Olsen   26  0.37      Chemistry
   399             Alexis Davis   27  3.83        Physics
   400              Gerald Gass   22  3.88        Physics
   401           Kenneth Ashton   20  0.75        Physics
   402             Loyce Garcia   21  2.56      Chemistry
   403            Willie Jaynes   23  0.02      Chemistry
   404           Robert Sweeney   20  2.38        Biology
   405            Cecil Daniels   22  2.03        Biology
   406            Sarah Creamer   22  3.75      Chemistry
   407               Gail Hines   22  0.11      Chemistry
   408             Barbara Reed   22  0.00        Physics
   409               Wendy Berg   26  1.83      Chemistry
   410         Douglas Isenberg   26  1.96        Physics
   411         Jenifer Mckernan   27  3.98      Chemistry
   412           Martin Hawkins   27  3.38        Biology
   413         Theresa Cisneros   24  2.42      Chemistry
   414          Cindi Frederick   24  1.90        Physics
   415              Greg Nelsen   23  1.61        Physics
   416            Linda Collins   24  2.62        Physics
   417               Debra Lowe   26  2.60        Physics
   418           Charles Hiller   26  1.29        Physics
   419             Linda Keeton   26  3.65        Biology
   420          Esther Matthews   24  0.09      Chemistry
   421             Ella Robbins   27  3.14        Physics
   422            Vincent Spann   24  1.59      Chemistry
   423           Michael Thomas   25  1.78        Physics
   424            Megan Houston   21  0.81        Biology
   425             Tammy Cordle   25  1.80        Biology
   426          Carole Mulqueen   26  0.76        Biology
   427             Connie Rosen   23  0.53        Biology
   428             Janice Oneal   23  2.96      Chemistry
   429             Shane Weaver   20  3.23        Physics
   430             Lee Crabtree   25  0.26        Physics
   431       Christopher Rogers   24  0.69      Chemistry
   432             Rebecca Earl   22  2.12        Physics
   433          Shannon Fuentes   26  1.95        Biology
   434            Nathan Soukup   23  2.46        Biology
   435             John Prezzia   21  1.91      Chemistry
   436           Roberto Hansen   22  1.10      Chemistry
   437             Marvin Keith   25  2.05        Biology
   438          Christina Mccoy   23  0.79      Chemistry
   439            William Young   23  3.71        Physics
   440             Frank Tregre   27  2.26        Physics
   441        Cleveland Hopkins   27  1.92      Chemistry
   442           Rosario Wilson   25  0.21        Biology
   443              Darryl Hill   20  0.40      Chemistry
   444         Joseph Mcclendon   22  1.58      Chemistry
   445           Hilary Watkins   22  1.23        Physics
   446                Mary King   21  2.19      Chemistry
   447              Barry Ramos   24  3.65      Chemistry
   448         Virginia Perkins   23  1.27        Physics
   449          Kenneth Salvage   21  3.67        Biology
   450         Kathleen Sagredo   26  1.12        Physics
   451             Alice Hartis   23  2.53      Chemistry
   452          Kristina Dotson   26  2.54        Biology
   453        William Sinkfield   20  1.88        Physics
   454            Kathleen Hart   23  0.03        Biology
   455          Elizabeth Myers   22  3.26      Chemistry
   456             Robert Jamal   22  1.34        Biology
   457          Mitchell Newsom   20  2.13        Biology
   458                John Lark   21  3.86      Chemistry
   459           Helen Desimone   26  1.07        Physics
   460          Gertrude Bulter   23  2.00        Biology
   461         Virginia Mckenna   21  3.23        Physics
   462            Efrain Pierce   27  2.41        Biology
   463          Caitlin Gamblin   25  2.97      Chemistry
   464        Gretchen Thompson   22  0.19      Chemistry
   465            Marie Krueger   21  2.13        Physics
   466              Sylvia Shaw   27  3.94        Physics
   467              Anna Delang   24  2.68        Physics
   468              Anthony Kim   27  2.75      Chemistry
   469          Charla Bradford   27  2.75        Biology
   470          Rhoda Mattingly   23  3.48        Biology
   471         Victoria Haywood   20  2.44      Chemistry
   472         Paula Strickland   23  2.82        Biology
   473           Joyce Klebanow   27  1.74        Biology
   474          Michelle Barker   20  3.37        Physics
   475             Martha Gomez   25  0.75        Biology
   476        Guadalupe Collins   27  0.84        Physics
   477             Joni Darrell   27  3.42        Biology
   478            Arthur Jacobi   24  0.69      Chemistry
   479              Scott Grant   23  3.51      Chemistry
   480               Tia Daines   23  2.76        Physics
   481              Maria Larez   20  2.25      Chemistry
   482             Jeanne Butts   25  1.70        Physics
   483          Larry Fleischer   21  3.50        Physics
   484             Doris Walker   27  2.72        Biology
   485             Thomas Hower   23  2.66      Chemistry
   486               Rick Stump   22  3.71        Physics
   487            Keith Johnson   23  3.58      Chemistry
   488               John Myers   26  0.78        Physics
   489          Emeline Francis   26  0.55      Chemistry
   490       Christina Holloway   26  0.54        Biology
   491          James Dickerson   26  2.66      Chemistry
   492             Mary Quigley   20  3.54        Physics
   493          Lucinda Hopkins   27  0.93        Biology
   494           Jarrett Brandy   23  0.56      Chemistry
   495          Barbara Ramirez   20  3.52      Chemistry
   496          Ronald Lawrence   21  0.55        Physics
   497             Rayford King   22  0.73        Biology
   498         Claire Mccalmont   21  0.46        Biology
   499            Steven Barger   25  0.97        Physics
   500              Corrine Cox   23  0.31        Biology
   501           Sally Cockrell   22  2.83        Biology
   502           William Schulz   25  0.73      Chemistry
   503            Herman Gillon   20  1.10        Biology
   504        Stephanie Barclay   21  3.86        Physics
   505             Harvey Clark   24  2.35        Physics
   506           Jeffery Parker   23  0.25        Biology
   507           Natasha Lawson   26  1.41        Physics
   508              Sarah Jones   27  1.63        Biology
   509             Sharon Joyce   26  0.80        Physics
   510           Edward Johnson   26  1.05      Chemistry
   511          Ronald Driscoll   22  0.71      Chemistry
   512           Forest Guimond   22  1.45        Biology
   513        Jeffrey Francisco   25  2.19      Chemistry
   514         Bernadette Ebert   23  3.12      Chemistry
   515      Jacqueline Braddock   26  0.19      Chemistry
   516             Ian Barnhart   24  1.72      Chemistry
   517         Phillip Fountain   27  1.06        Biology
   518            Anita Nichols   27  2.04        Biology
   519           Danielle Swaby   20  0.46        Physics
   520           Nancy Crawford   25  0.53        Biology
   521               Mary Brown   23  2.84      Chemistry
   522             Sally Heckel   22  2.52        Biology
   523             Letha Brooks   25  3.24        Physics
   524              Jose Thomas   25  3.56        Biology
   525            Alethea Smith   21  0.03        Physics
   526         Patricia Bridges   21  1.47        Physics
   527               Dion Young   20  0.87      Chemistry
   528              Robin Mayes   21  3.65        Biology
   529              Zena Mcfall   23  1.61      Chemistry
   530               Ann Styles   21  1.86      Chemistry
   531             Cedrick Tabb   22  2.19        Physics
   532        Heather Dilorenzo   21  1.88        Biology
   533           Jimmie Bradley   26  0.46      Chemistry
   534            Thomas Cooper   21  3.56      Chemistry
   535            Kimberly Nava   23  0.09      Chemistry
   536              Leah Herman   26  1.69      Chemistry
   537           Edward Gregory   24  0.88        Biology
   538         Michael Coldwell   26  0.07        Biology
   539             David Dailey   23  1.17        Biology
   540            Thomas Seeley   24  1.34        Biology
   541              Marie Jones   22  3.01      Chemistry
   542              Glenda Goad   21  0.25        Biology
   543           Wade Klepchick   24  1.40        Physics
   544             Shirley Penn   25  1.46        Physics
   545         Amanda Cleveland   26  0.75        Physics
   546         Lorraine Johnson   22  2.47      Chemistry
   547           Shannon Thomas   26  2.12      Chemistry
   548           Aaron Alderman   26  3.51        Physics
   549              John Lauzon   25  2.42      Chemistry
   550           Harvey Devries   25  2.21        Biology
   551             Derrick Lund   22  0.33        Physics
   552            Aubrey Dennis   21  0.56        Biology
   553              Jill Bartee   24  1.88      Chemistry
   554           Charles Wetzel   25  0.78        Biology
   555             Rocco Thomas   25  3.74        Physics
   556            Robert Sawyer   23  2.41        Physics
   557          Charles Salinas   22  2.00        Biology
   558          Kimberly Atkins   26  0.30        Biology
   559       Antonio Hutchinson   25  2.40        Biology
   560          Elmer Robertson   20  1.10      Chemistry
   561           Linda Donalson   21  1.33        Biology
   562          Virginia Nelson   20  0.56        Biology
   563          Marjorie Monday   25  0.84        Biology
   564           Keith Melville   27  0.60      Chemistry
   565             Justin Hatch   22  3.32        Biology
   566               Quincy Sea   27  1.49        Biology
   567             Maxine Quale   25  3.15        Biology
   568           Richard Hewett   25  2.93      Chemistry
   569              John Napier   20  2.37      Chemistry
   570             Steven Young   22  0.89        Biology
   571            Robert Cheney   21  2.92        Biology
   572              Jason Hyman   21  2.97        Physics
   573        Robert Valenzuela   24  0.92        Physics
   574            Mariann Lopez   26  3.15        Physics
   575              Tommie Cruz   20  0.59      Chemistry
   576            Thelma Nelson   23  1.55        Physics
   577          Sarah Robertson   22  0.30        Biology
   578              Twyla Forte   24  0.39        Biology
   579         Stephen Saunders   23  2.78        Biology
   580              Susan Allen   21  3.55        Physics
   581            Lauren Cleary   27  0.32        Biology
   582           Randy Cremeans   22  1.96      Chemistry
   583           Latarsha Lopez   26  3.84      Chemistry
   584           Cindy Thompson   26  1.83        Physics
   585             Kevin Rounds   23  3.93        Biology
   586          Wayne Covington   22  0.48      Chemistry
   587        Nicolas Mccasland   27  3.16        Physics
   588              Steven Webb   21  0.24      Chemistry
   589                Ida Ellis   23  3.04        Biology
   590               Eric Clair   23  2.85        Biology
   591            Brenda Kanagy   27  2.32      Chemistry
   592              Aaron Lynch   23  3.94      Chemistry
   593            Russell Bello   23  1.65      Chemistry
   594            Walter Greene   25  1.05        Physics
   595             Samuel Wyche   20  2.49      Chemistry
   596               Becky Bell   20  1.71      Chemistry
   597          Brandon Hallman   25  2.87        Biology
   598           Helen Mcdowell   21  2.76        Physics
   599             Shawn Harris   27  3.98      Chemistry
   600              James Goins   22  1.01      Chemistry
   601             Debra Grimes   26  3.73      Chemistry
   602             Peter Aymond   25  2.06        Biology
   603             Robert Dense   25  0.72        Physics
   604             Lola Frazier   26  2.94        Physics
   605            Sharon Faines   24  1.68        Biology
   606             Johnnie Tall   24  2.82        Biology
   607            Bradford Ryan   22  1.40        Biology
   608               Jean Smith   26  1.18        Physics
   609               Alan Krebs   20  1.05      Chemistry
   610           Charles Trippi   21  1.16        Physics
   611            John Mcdonald   24  0.30        Physics
   612              Cathy Swann   25  1.43        Physics
   613               John Seipp   22  2.04        Biology
   614             Mark Gilbert   27  0.27        Biology
   615               Roy Cooper   23  3.56      Chemistry
   616                Ann Purdy   26  0.45      Chemistry
   617            Jason Clifton   25  3.11      Chemistry
   618           Trisha Leonard   26  2.38        Physics
   619         Madison Davidson   24  0.58        Physics
   620       Jennifer Whitehead   27  2.36        Biology
   621             Dean Patnode   25  2.69        Biology
   622              Dina Pearce   24  0.73        Physics
   623          Marcus Musgrave   23  1.44        Physics
   624             Scott Molina   20  1.19      Chemistry
   625            Steven Legore   23  0.31      Chemistry
   626           Regina Shapiro   20  3.97      Chemistry
   627              Ernest Byrd   24  0.50      Chemistry
   628         Coleman Eldredge   25  3.34      Chemistry
   629            Lewis Elliott   22  1.79        Physics
   630            Paige Hellyer   25  1.35      Chemistry
