#Index                     Name  Age   GPA         Career
   113           Courtney Rabil   24  2.68      Chemistry
   114            Jorge Caldera   22  1.69        Biology
   115               Derek Hill   20  2.43      Chemistry
   116              Jose Jasper   21  0.57      Chemistry
   117             Nicole Young   27  1.30      Chemistry
   118            Lewis Harrell   20  3.48        Biology
   119          Catherine James   20  3.69      Chemistry
   120           Roxanne Butler   22  2.62      Chemistry
   121             Stacy Denney   21  0.65        Physics
   122             Juan Allison   25  3.50        Physics
   123          Christine Brown   25  2.97      Chemistry
   124               Jerry Otto   25  0.34      Chemistry
   125                Ruth Dana   22  0.80        Physics
   126             Rosalva Lora   24  0.83        Physics
   127            Andre Mcbride   20  2.12      Chemistry
   128             Ivory Wilson   20  3.72        Biology
   129        Charles Beresford   26  2.18        Physics
   130        Valentin Rapelyea   26  1.62        Biology
   131          Virginia Bailey   24  3.79      Chemistry
   132               Aja Waldon   25  0.62      Chemistry
   133             Jeff Freeman   20  3.92        Biology
   134             James Menden   21  2.72        Biology
   135            Joan Plunkett   27  1.83        Physics
   136             Bertha Allen   27  2.36        Physics
   137            Kathryn Hines   21  3.53      Chemistry
   138           Alfred Coleman   22  3.20        Physics
   139              Nancy Holte   24  3.28        Biology
   140             Kevin Becnel   27  2.33        Physics
   141              Shannon Eck   23  0.25        Biology
   142            Maggie Kovacs   25  2.22      Chemistry
   143              Dalene Leon   20  2.50        Physics
   144             Cora Appling   22  0.58        Biology
   145              Emily Reese   26  2.77      Chemistry
   146            Joyce Mazzone   21  1.92        Biology
   147             Ramiro Forth   24  2.17      Chemistry
   148                Ann Brill   26  3.36      Chemistry
   149           Hazel Cranford   23  3.85        Physics
   150          Matthew Gilmore   21  3.41        Biology
   151            Corrin Goings   26  2.94      Chemistry
   152            Tena Roscioli   20  2.08        Physics
   153          Barbara Johnson   21  3.26        Biology
   154            Nichole Fuchs   26  1.31        Physics
   155             Pamela Welch   25  0.93        Biology
   156           Melissa Tarter   21  3.50        Biology
   157            Linda Teasley   25  1.22      Chemistry
   158               Dawn Walsh   23  0.79        Physics
   159            Denice Bowers   22  3.73        Biology
   160            Ashley Alford   24  2.62        Biology
   161             Margaret Bez   23  1.50        Physics
   162              Mark Bagdon   26  1.70      Chemistry
   163              Roger Scott   21  1.10      Chemistry
   164             Terry Obrien   26  0.64        Biology
   165            Joyce Stroman   24  1.59        Physics
   166       Lawrence Robertson   24  3.65        Biology
   167          Georgina Nieves   22  3.81        Physics
   168              Donna Kifer   27  3.24        Biology
   169               Henry Lett   23  0.76        Physics
   170           Israel Hornung   23  2.37        Physics
   171            John Lubinski   23  3.62        Biology
   172            Megan Deweese   24  2.55        Physics
   173         Karen Hutcherson   25  1.21        Physics
   174         Cynthia Melendez   27  2.26      Chemistry
   175             Susan Landry   20  1.40        Physics
   176              Tina Wilson   27  1.71        Biology
   177           Patricia Miske   25  0.99        Biology
   178             Elaine Heter   21  0.40        Physics
   179           Ricky Williams   23  1.59      Chemistry
   180         Sharon Ollendick   26  0.01        Physics
   181        Harold Villalobos   24  0.66      Chemistry
   182          Vickie Gonzales   22  1.35      Chemistry
   183              Pamela Lind   20  0.74        Physics
   184          Howard Brockman   26  2.69        Physics
   185          Rebecca Steiner   23  0.97        Biology
   186                Ray Davis   21  1.12        Biology
   187             James Rasset   21  1.09        Biology
   188       Jeanette Donaldson   20  0.53      Chemistry
   189           Damien Verhaag   23  3.51      Chemistry
   190            Carol Darnell   22  2.18        Biology
   191               Jonna Lott   24  3.70        Physics
   192              Shawn Doyle   21  0.67        Physics
   193             Billy Ingram   23  0.11        Physics
   194            Richard Jones   21  1.30      Chemistry
   195               Jesus Jobe   21  1.35        Physics
   196             Lanny Branch   21  2.08        Physics
   197             Rita Sheffer   20  2.47      Chemistry
   198        Mistie Carrington   26  0.07        Physics
   199           Dennis Navarro   21  2.54        Physics
   200              Tyler Smith   20  2.94      Chemistry
   201           Martha Boswell   27  3.13        Physics
   202               Rosie Ward   20  1.20        Physics
   203            Jimmy Shrader   26  1.22        Physics
   204            Patricia Teal   23  3.23      Chemistry
   205          William Vasquez   25  0.98        Physics
   206             Louise Desai   24  0.79      Chemistry
   207                Kim Kelly   27  2.37        Physics
   208          Amado Dagostino   23  3.88      Chemistry
   209          Rodney Alexader   21  2.51        Biology
   210        Jessica Macdonald   20  0.13        Physics
   211             Lauren Falls   22  0.50      Chemistry
   212           Deborah Spilde   24  0.37        Biology
   213            Dallas Staten   23  0.87        Physics
   214             Gary Feldman   25  0.31        Physics
   215          Harry Gutierrez   23  3.96        Physics
   216           Charles Carter   26  2.52        Biology
   217            Adrian Liotta   26  3.17        Biology
   218             David Mcnitt   22  2.09        Biology
   219                 Rob John   26  3.33        Biology
   220         Christina Schlau   20  0.86        Physics
   221          Timothy Mcalary   23  2.88      Chemistry
   222          Stephen Stinson   24  2.58        Biology
   223           Stephen Stroik   21  1.32        Physics
   224              Irene Noboa   20  3.94      Chemistry
   225       Ernest Phomphithak   21  3.93      Chemistry
   226          Reginald Cooper   21  3.23        Biology
   227                Teri Holt   27  0.07      Chemistry
   228             Mary Chipman   21  2.05        Physics
   229            Freddie Laban   27  3.76      Chemistry
   230           Lillian Martin   21  1.98      Chemistry
   231             Duane Turner   23  1.47        Biology
   232          Donnell Pettitt   22  1.51        Physics
   233               Harvey Day   24  2.77        Biology
   234              Ann Johnson   25  3.89        Physics
   235              James Brown   23  1.25        Physics
   236             Arnold Bosse   25  2.87      Chemistry
   237              Mary Thomas   24  0.62        Physics
   238              Ada Skeeter   23  0.83        Physics
   239            Michele Spera   27  0.31      Chemistry
   240      Jessica Littlefield   25  1.15      Chemistry
   241              Oliver Gans   21  1.74      Chemistry
   242              Janet Allen   26  1.38      Chemistry
   243          Jennifer Gilbar   21  3.82        Biology
   244           Laurie Nichols   23  3.51        Physics
   245           Shawn Longacre   21  3.08        Biology
   246             Rose Ramires   20  3.96      Chemistry
   247            Kevin Gardner   22  3.35      Chemistry
   248         Jeremy Schneider   23  3.15        Physics
   249             Paul Carroll   25  0.64        Biology
   250            Doug Whitaker   27  2.80        Biology
   251     Melinda Vaillancourt   20  0.08      Chemistry
   252            Randall Allen   21  0.19        Biology
   253           Glenn Gonzales   22  0.82      Chemistry
   254        Arnold Knackstedt   24  2.27      Chemistry
   255               David Robb   24  1.51        Physics
   256           Belinda Greene   21  3.89      Chemistry
   257          Alfredo Crowley   21  1.10        Physics
   258            Antonio Sorel   23  2.95      Chemistry
   259           Elizabeth Love   27  1.80        Physics
   260             Gilbert Leng   24  0.49        Biology
   261           Dennis Tillman   23  3.45        Biology
   262           Keith Cottrell   26  2.31        Biology
   263           Melvin Woodard   26  1.03      Chemistry
   264             Eddy Herring   24  0.36      Chemistry
   265        Madeline Riendeau   23  0.86        Biology
   266           Kathryn Shippy   23  1.47        Biology
   267               Carl Brown   27  1.91        Biology
   268            Jeffrey Quade   21  3.33      Chemistry
   269            Margo Brinker   22  0.79        Biology
   270          Allison Mcmahon   27  1.44        Physics
   271              Joe Beachum   25  1.20        Physics
   272             Andrew Payne   25  0.71      Chemistry
   273              Vonda Smith   23  2.22        Biology
   274           Joseph Aguilar   27  1.83        Biology
   275           Josefina Simon   21  1.09      Chemistry
   276           Justin Coleman   22  3.34      Chemistry
   277            Deanna Houser   22  0.43      Chemistry
   278          Douglas Forrest   22  1.69        Physics
   279              Corey Mills   27  1.90        Physics
   280              John Bryant   23  3.16      Chemistry
   281           Robert Kilgore   26  3.08      Chemistry
   282              Amanda Linn   22  3.80        Biology
   283              Mindy Bayer   20  1.61        Physics
   284          Jodi Swedenburg   24  3.55        Physics
   285         Robert Westbrook   22  3.52        Biology
   286            John Griswold   20  0.84        Physics
   287               John Floyd   27  0.33        Biology
   288          Patrick Silveri   20  3.47        Physics
   289            Harry Saldana   26  2.85      Chemistry
   290             Robert Wolfe   26  3.10        Biology
   291           Angelia Bright   25  1.73        Physics
   292           Marion Sellers   22  0.31        Physics
   293          Stephen Barajas   22  1.52      Chemistry
   294     Garfield Christensen   26  0.46      Chemistry
   295              Sue Allison   24  1.10        Biology
   296           Michael Pickle   22  0.58        Physics
   297          Mary Washington   22  1.04        Physics
   298            Dean Robinson   27  3.76        Physics
   299               Linda Root   25  2.64        Biology
   300               John Thoms   20  1.43      Chemistry
   301        Jennifer Studdard   26  3.62      Chemistry
   302              Rusty Grose   25  3.12        Physics
   303             Donald Zafar   25  1.45        Biology
   304            Marie Olmsted   22  3.64        Biology
   305          Carmen Robinson   24  2.01        Biology
   306                John Hipp   23  0.33        Biology
   307            Anne Williams   20  0.59      Chemistry
   308          Herbert Mackson   24  3.22        Biology
   309               Ana Twyman   27  3.66        Physics
   310           Bridget Walton   25  3.83        Physics
   311         Michael Tinajero   20  2.49        Physics
   312           Philip Collins   27  3.60      Chemistry
   313                Sara Pate   22  3.02        Biology
   314             Jose Jackson   27  3.08      Chemistry
   315          Patricia Strock   25  1.55        Physics
   316            Andrew Lepore   22  0.02      Chemistry
   317             Marie Kramer   25  0.63        Biology
   318            Laverne Moore   21  0.41      Chemistry
   319               Elsa Evans   20  0.27        Biology
   320              Katie Jasso   20  1.70        Physics
   321            Curtis Snider   20  3.63      Chemistry
   322           Beverly Shuler   26  2.70        Physics
   323             Matthew Folk   25  0.98      Chemistry
   324             James Peters   23  1.44        Physics
   325            Robert Thames   22  3.59        Biology
   326              James Dutra   23  3.24        Biology
   327            Kurt Dunsford   24  0.36        Physics
   328         Loretta Mckesson   22  0.04        Physics
   329          Barbara Fineran   27  1.77        Physics
   330                Jane Otto   27  3.57        Biology
   331            Roger Solberg   20  0.39        Physics
   332            Heather Shull   26  1.89      Chemistry
   333          Michael Jackson   20  1.65      Chemistry
   334             Howard Allen   25  0.72        Biology
   335           Raymond Austin   25  0.69        Physics
   336              Danny Villa   23  1.78        Biology
   337             Lamar Goshay   23  3.36        Biology
   338            Winfred Jones   25  0.86        Biology
   339            Susan Edwards   21  3.83      Chemistry
   340           Pearl Peterson   24  0.38      Chemistry
   341              Jason Biron   22  2.83        Biology
   342                Tara Hunt   20  3.76        Physics
   343      Maryann Winebrenner   21  3.24      Chemistry
   344           John Trosclair   23  2.28        Physics
   345                Sean Bell   22  3.60        Biology
   346          Stuart Williams   21  1.66        Biology
   347        Pamela Wedderburn   25  3.75        Biology
   348          Caroline Hagler   26  0.14        Biology
   349        Abigail Caruthers   20  1.62        Physics
   350           Larry Williams   24  1.86      Chemistry
   351             Curtis Light   26  1.52      Chemistry
   352          Darlene Shanker   20  3.04        Physics
   353             Mamie Renaud   25  2.10        Biology
   354             Larry Kropff   25  1.69        Physics
   355             Eugene Young   24  1.75        Physics
   356             Amanda Clark   22  2.05        Physics
   357          William Schmitt   23  1.83      Chemistry
   358             James Randle   26  3.08        Biology
   359             Deborah Benn   27  0.57        Biology
   360               Mary Alier   21  2.56      Chemistry
   361             Paul Leonard   27  3.38      Chemistry
   362         Michael Mcdonald   24  3.34      Chemistry
   363          Charles Simmons   22  0.41      Chemistry
   364            Dolores Owens   21  1.09      Chemistry
   365               Ruth Looft   20  1.79      Chemistry
   366            Heather Adams   27  2.22      Chemistry
   367           Marjorie Rossi   27  2.29        Physics
   368              Sarah Bernd   26  1.46        Biology
   369            James Mehtani   23  2.46        Biology
   370         Michael Mccarter   22  3.20        Physics
   371           Linda Disimone   24  2.45        Biology
   372             Melva Morris   21  0.52      Chemistry
   373           William Jensen   22  2.50        Biology
   374           Curtis Krasner   25  2.59      Chemistry
   375            John Reynolds   20  3.89      Chemistry
   376            Victor Nordes   20  0.50      Chemistry
   377             Robert Terry   21  3.24      Chemistry
   378               Mary Marks   27  3.33      Chemistry
   379           Sandra Hubbard   23  1.54      Chemistry
   380          Jeff Venturelli   25  0.87      Chemistry
   381             Rhonda Tatum   20  0.29      Chemistry
   382              Susan Moses   25  1.33        Biology
   383         Stephanie France   21  3.58        Physics
   384             John Kaauamo   21  3.73        Physics
   385          Laurie Sandling   22  3.47        Physics
   386           Pauline Rudish   25  0.82      Chemistry
   387             Billie Dedic   22  1.91        Biology
   388             Kelvin Roche   26  1.09        Biology
   389             Jesus Miller   24  1.59        Physics
   390         Katherine Goguen   27  0.53        Physics
   391               Adam Ruivo   20  1.60      Chemistry
   392             David Dorich   27  1.39        Biology
   393            Eugene Beebee   22  2.22        Physics
   394          Evelyn Marshall   27  2.39        Physics
   395             Harry Dakins   23  1.65        Biology
   396            Jose Figueroa   22  0.51        Physics
   397              Anthony Day   25  1.67        Physics
   398             Marta Pasley   24  0.97        Biology
   399            Steven Shutts   22  1.16        Physics
   400             Barbara Pena   20  1.59        Physics
   401           Mathew Osborne   24  3.76        Biology
   402             John Norwood   27  3.58        Biology
   403        Bradley Patterson   24  2.12        Biology
   404           Susana Bullman   23  1.46      Chemistry
   405             Donald Foran   27  1.61      Chemistry
   406            Betty Bassett   27  0.99      Chemistry
   407           Kenneth Locket   20  2.98        Biology
   408            Wanita Turner   22  0.42      Chemistry
   409            Edward Dotson   20  2.77        Physics
   410            Kyle Brighton   24  2.26      Chemistry
   411             Kelly Fuller   26  3.85        Biology
   412            Helen Johnson   27  1.03        Physics
   413            Jeffrey Dixon   24  3.81        Physics
   414             Donald Smith   24  2.88        Physics
   415             Abby Schuman   25  2.61      Chemistry
   416               Gary Avila   27  3.21        Physics
   417             Jerome Gomez   22  3.21      Chemistry
   418                Bruce Day   22  0.47      Chemistry
   419            Doretha Green   23  0.59        Physics
   420          Veronica Mencia   24  3.55        Biology
   421           Branden Watson   27  0.07      Chemistry
   422          Richard Rollins   27  1.96        Physics
   423           Francis Harmon   24  1.06        Physics
   424          Daniel Hazelton   20  3.45        Physics
   425            Keith Peppard   27  0.82      Chemistry
   426            Rebecca Avila   26  3.89      Chemistry
   427          Raquel Shepherd   24  3.61      Chemistry
   428               Bill Shipp   25  2.34        Physics
   429            Brandon Stone   25  2.66        Physics
   430            Opal Brickner   23  1.06      Chemistry
   431         Lynette Morrison   22  0.85        Biology
   432           William Valdez   26  2.88      Chemistry
   433             Gail Prindle   21  1.96        Physics
   434           Pamela Russell   20  3.42        Biology
   435           Lloyd Carrillo   24  0.11      Chemistry
   436               Bobbi Hale   20  2.32        Physics
   437         Dorothea Odaniel   25  1.01      Chemistry
   438            Brian Gayhart   22  3.96        Biology
   439             Kelli Bowdle   26  3.72        Physics
   440            Alfred Taylor   24  0.32      Chemistry
   441             Shonna Wells   21  3.42      Chemistry
   442            Charles Geren   22  2.59      Chemistry
   443          Louise Decambra   27  1.47      Chemistry
   444            Angelina Ropp   24  1.61      Chemistry
   445         Kathy Washington   21  1.98        Biology
   446          Grace Carpenter   25  1.43        Biology
   447          Nancy Wilkinson   20  2.59        Physics
   448              Harley Self   23  0.08        Biology
   449     Priscilla Levenhagen   23  3.75        Physics
   450            Ronald Harris   26  1.30      Chemistry
   451             Lori Roberts   20  2.59      Chemistry
   452      Jacqueline Mitchell   25  3.57        Physics
   453          Robert Jernigan   22  1.03      Chemistry
   454       Patricia Dominguez   23  1.02        Biology
   455            Mark Passmore   20  3.13        Physics
   456           Josefina Klein   21  3.46      Chemistry
   457           Andrea Parsons   26  0.25        Biology
   458              Yanira Reed   20  0.32        Biology
   459               Neal Huett   27  2.06        Biology
   460          Vernon Danforth   24  3.84        Physics
   461          Sandra Lavadera   24  1.07      Chemistry
   462          Kristi Scavuzzo   27  1.92      Chemistry
   463            Phillip Ramos   23  3.88      Chemistry
   464             Dan Mcmillan   21  0.45        Biology
   465              Janet Piatt   27  3.99        Physics
   466             Etta Hembree   25  2.46      Chemistry
   467          Jessica Edwards   21  2.81        Biology
   468            Patricia Polk   20  1.52        Biology
   469        Carolyn Mccracken   26  3.18        Biology
   470             Allen Mccall   26  0.62        Biology
   471       Vanessa Sinkiewicz   24  1.71      Chemistry
   472          Joanne Williams   25  2.27        Biology
   473           Ricky Sandoval   20  2.99        Biology
   474               James Diaz   25  2.40      Chemistry
   475                John Long   25  1.46        Physics
   476             Stuart Moses   24  2.21      Chemistry
   477         Patricia Oberley   23  0.63      Chemistry
   478              Alan Harris   25  1.94        Physics
   479           Charles Gilman   24  1.28        Biology
   480            Jonathan Lutz   26  2.85        Biology
   481                 Joe Enge   22  3.00        Physics
   482        Carmelita Coggins   21  3.92        Physics
   483           Michael Kelton   24  3.39        Physics
   484          Alice Naffziger   27  0.25        Physics
   485              Brandi Bucy   20  0.29        Physics
   486               Anne Matin   21  2.70        Physics
   487          Frances Bracken   25  2.77      Chemistry
   488              Marvin Cote   26  0.36        Biology
   489              Drew Harlan   26  2.23        Physics
   490          Roland Thornton   27  2.63        Physics
   491             Marie Wilcox   22  2.93        Physics
   492             Robert Owens   27  1.54        Physics
   493            Marcy Kimball   23  3.55        Biology
   494            Linda Roberts   21  3.21        Biology
   495          Stanley Squires   26  2.86        Physics
   496              Jack Chavez   21  1.75        Biology
   497         Angela Blackmore   27  2.18      Chemistry
   498             Karin Opland   26  1.74        Physics
   499           Donald Meachen   27  1.52      Chemistry
   500            Mae Pritchett   27  1.82      Chemistry
   501               Sonja Katz   21  0.43      Chemistry
   502           Irwin Lawrence   21  1.91        Physics
   503         Clara Kulikowski   24  2.75        Biology
   504            Julio Tidwell   25  1.41      Chemistry
   505            Stephen Poche   25  0.96      Chemistry
   506              Mitzi Young   24  3.20        Physics
   507              Stacy Green   27  2.26        Physics
   508             Irma Vasquez   22  3.83        Physics
   509           Florence Lopez   20  0.94        Biology
   510        Stephanie Dammann   26  1.22      Chemistry
   511          Michelle Parham   26  1.74        Physics
   512              Randy Smith   24  0.46        Biology
   513            James Sherrod   22  2.94        Biology
   514           Ronald Machado   25  1.57        Biology
   515          Vicky Henderson   21  1.94        Biology
   516         Fernando Perlman   25  0.69        Biology
   517            Erica Malpass   26  1.70        Biology
   518              Harold Hill   20  2.79        Biology
   519           Johnnie Mcevoy   25  0.60        Biology
   520            Mamie Minyard   22  0.50        Physics
   521            Manuel Bouyer   26  3.57        Physics
   522          Charles Johnson   25  1.49      Chemistry
   523               Diane Belk   27  3.73        Physics
   524           Bernice Miller   23  0.27      Chemistry
   525           Marianna Johns   20  3.19      Chemistry
   526                Ray Russo   27  0.39        Biology
   527            John Glassman   21  2.94        Biology
   528     Shannon Carrasquillo   26  2.79      Chemistry
   529          Megan Pinkowski   20  3.17        Biology
   530               Sally Dean   26  3.09        Biology
   531            Jerald Bedeau   21  2.98        Physics
   532            William Smith   20  1.51      Chemistry
   533              Debra Sneed   21  0.94      Chemistry
   534            Clarence June   24  3.37        Physics
   535           Violet Hammond   22  0.90      Chemistry
   536         Dorothy Marshall   24  1.98      Chemistry
   537            Heather Desai   20  3.29        Physics
   538           Joseph Charles   23  1.05        Biology
   539          Ophelia Shipman   21  0.21        Physics
   540              David Kolbe   26  0.17        Physics
   541          Edward Haggerty   26  1.68        Physics
   542              Nancy Waldo   26  0.82      Chemistry
   543             Boris Turner   22  0.57        Biology
   544            Ralph Kravitz   24  1.93        Biology
   545               Evan Stone   21  1.18      Chemistry
   546              Ronald Moss   26  1.91      Chemistry
   547         Ronald Underdahl   20  1.61        Biology
   548            Scott Preston   21  2.29        Physics
   549               Carolyn Ku   20  2.26        Biology
   550             Tracy Nguyen   26  1.79        Physics
   551           Daniel Quinter   25  0.44      Chemistry
   552            Laura Garrett   21  0.83      Chemistry
   553         Anthony Hamilton   20  1.73      Chemistry
   554              John Torres   27  3.39        Physics
   555         Patricia Wilhite   26  2.61        Biology
   556             Brian Boulds   24  3.84        Biology
   557           Donald Pickett   23  2.41      Chemistry
   558             Thelma Black   25  2.27        Biology
   559            Carrie Parker   23  2.57        Biology
   560           Melissa Carter   25  1.14        Biology
   561            Luther Taylor   22  2.99        Physics
   562             Paul Wallace   25  2.56        Physics
   563            Emma Chrisman   24  3.38        Physics
   564           Gladys Alvarez   27  0.25        Biology
   565        Shannon Radabaugh   26  0.52        Physics
   566             David Sedore   21  0.99        Physics
   567          Lawrence Eskind   27  1.73        Biology
   568              Mary Kinard   27  0.21        Biology
   569           William Harden   25  3.75      Chemistry
   570                Earl Peck   24  2.60        Biology
   571             Danika Potts   21  1.20      Chemistry
   572               Ralph King   23  2.82        Physics
   573         Dennis Pelletier   23  0.81        Biology
   574             Jesse Parker   25  1.21        Physics
   575               Elvia Park   20  0.84        Biology
   576            Walter Melody   22  2.70        Physics
   577              Frank Koons   20  1.19        Physics
   578            Edward Baxter   27  0.53        Physics
   579          Robert Mucciolo   27  3.39        Physics
   580            Richard Pompa   26  1.81      Chemistry
   581             Tony Jackson   27  3.51        Biology
   582          Marion Mcintyre   23  2.58      Chemistry
   583           Katelyn Felton   22  2.59        Physics
   584              Jerome Renn   27  3.63        Physics
   585        Nicholas Escobedo   26  0.49        Physics
   586            Joshua Miller   23  1.47        Physics
   587           Lucille Oldham   27  0.72      Chemistry
   588           Melissa Stiles   20  1.82      Chemistry
   589             Karen Acosta   22  2.26        Physics
   590           Patricia Baker   20  3.49        Biology
   591            Juan Mccarthy   23  3.44        Physics
   592            Lisa Hildreth   21  2.32        Physics
   593           James Thompson   26  1.36        Physics
   594            Melvin Dodson   21  0.53      Chemistry
   595           Heather Brumit   25  0.85        Physics
   596         Milagros Ramirez   24  0.53        Biology
   597             Keith Gatton   23  1.12        Biology
   598             Marisa Terry   25  1.33      Chemistry
   599            Sheila Brooks   20  0.40      Chemistry
   600                Adam Carr   20  1.90        Biology
   601           Kenneth Murphy   25  3.65        Physics
   602            Rudy Fletcher   21  0.24      Chemistry
   603             Megan Adorno   20  2.00        Biology
   604             Gerald Kuehl   23  3.40      Chemistry
   605               Nancy Hall   25  1.28      Chemistry
   606           Jessica Vargas   26  0.23        Physics
   607       Josephine Williams   20  2.34      Chemistry
   608            Jennifer Reed   22  2.32        Biology
   609             Ann Phillips   27  3.59        Physics
   610           Patricia Potts   25  3.88        Biology
   611            Julian Wilson   23  2.87        Biology
   612         Davis Gabrielsen   23  3.53      Chemistry
   613             Joseph Hutto   21  1.67        Biology
   614            Jason Behring   23  1.16        Biology
   615       Guillermina Lester   24  2.59      Chemistry
   616              Tyler Nagao   27  2.77        Physics
   617            Carol Bangert   27  0.23        Biology
   618          Cassandra White   26  0.71        Physics
   619               Mark Brown   20  2.27      Chemistry
   620              David Baron   20  2.55      Chemistry
   621         Danielle Midkiff   21  0.96        Biology
   622             Crystal King   20  1.49        Biology
   623               Clay Brown   23  2.88      Chemistry
   624           William Eberle   20  1.84        Biology
   625           Leroy Spangler   22  3.02        Biology
   626          William Tronaas   25  3.55        Biology
   627             Steven Hiett   26  1.44        Physics
   628            Agnes Jackson   21  1.15      Chemistry
   629                John Dube   27  3.33        Physics
   630            Darryl Eckman   23  2.67        Biology
   631         Bernard Lapointe   24  3.16        Physics
   632            Barbara Clark   22  2.58        Biology
   633               Lynn Evans   20  3.02        Physics
   634             Shirley Edge   25  1.16        Biology
   635            Aurora Ortega   27  3.77        Biology
   636            Linda Walters   20  3.20      Chemistry
